frase,situacao
"sinto dor no peito intensa com irradiação para o braço esquerdo e suor frio",alto risco
"tenho aperto no tórax há uma hora que não passa nem em repouso",alto risco
"acordei com falta de ar intensa e sensação de sufocamento no meio da noite",alto risco
"sinto pressão forte no peito com náusea e formigamento no braço esquerdo",alto risco
"tenho dor no peito que irradia para o maxilar com suor excessivo e tontura",alto risco
"sinto falta de ar súbita e tosse com sangue que começaram há poucas horas",alto risco
"meu coração está acelerado há mais de trinta minutos com dor leve no peito",alto risco
"sinto o coração batendo muito devagar com tontura e já quase desmaiei hoje",alto risco
"tenho pressão em 200 por 120 com dor de cabeça intensa e visão turva",alto risco
"acordei sufocando precisei sentar na cama para respirar com tosse seca intensa",alto risco
"sinto dor no peito ao respirar fundo com falta de ar que piorou rápido",alto risco
"tenho histórico de infarto e hoje sinto desconforto diferente com cansaço exagerado",alto risco
"sinto pressão no centro do peito há três horas com suor frio e náusea",alto risco
"meu coração está irregular e acelerado com tontura e fraqueza intensa",alto risco
"sinto falta de ar mesmo deitado e preciso de dois travesseiros para dormir",alto risco
"tenho inchaço forte nas pernas e nos tornozelos com dificuldade para respirar",alto risco
"sinto dor intensa no peito como uma facada com irradiação para o pescoço",alto risco
"meu coração disparou de repente com suor frio fraqueza e pressão no peito",alto risco
"sinto falta de ar progressiva agora até ao me vestir com cansaço extremo",alto risco
"tenho dor no peito que não melhora com nada e está piorando há duas horas",alto risco
"sinto palpitações fortes com desmaio e acordei no chão sem saber o que aconteceu",alto risco
"tenho lábios arroxeados dificuldade para respirar e pressão no peito intensa",alto risco
"sinto dor em queimação no peito intensa que não melhorou com antiácido",alto risco
"meu coração está acelerado e irregular com falta de ar e suor frio nas mãos",alto risco
"sinto fraqueza extrema tontura e o coração batendo de forma muito irregular",alto risco
"tenho dor no peito com irradiação para o braço direito e suor excessivo",alto risco
"sinto pressão no peito com sensação de morte iminente e mãos formigando",alto risco
"fui diagnosticado com insuficiência cardíaca e hoje estou com falta de ar em repouso",alto risco
"sinto o coração acelerado há uma hora com dor leve no peito e fraqueza",alto risco
"tenho dor no peito ao respirar com febre e piora ao deitar de costas",alto risco
"sinto um leve aperto no peito quando fico ansioso mas passa ao me acalmar",baixo risco
"tenho palpitações leves depois de tomar café que passam em poucos minutos",baixo risco
"sinto leve cansaço após um dia agitado no trabalho que melhora com repouso",baixo risco
"tenho leve desconforto no peito depois de comer demais que melhora sentando ereto",baixo risco
"sinto meu coração acelerar às vezes sem sintomas graves e passa sozinho",baixo risco
"tenho pressão em 140 por 90 sem sintomas vim apenas para consulta de rotina",baixo risco
"sinto leve formigamento no braço esquerdo ao acordar que passa ao me movimentar",baixo risco
