frase,situacao
Há dois dias estou com uma dor no peito que piora quando faço esforço físico e sinto um aperto no tórax que não passa nem em repouso,alto risco
"Sinto cansaço constante há uma semana, mesmo depois de dormir bastante, e fico sem fôlego ao subir um lance de escadas",alto risco
"Estou com falta de ar desde ontem à noite e sinto dificuldade para respirar mesmo quando estou deitado, preciso de dois travesseiros para conseguir dormir",alto risco
"Tenho sentido palpitações no coração, como se ele estivesse acelerado e irregular, junto com tontura e suor frio nas mãos",alto risco
"Desde manhã cedo estou com uma dor no peito que irradia para o braço esquerdo e para o maxilar, com suor excessivo e sensação de que algo muito grave está acontecendo",alto risco
"Sinto meu coração disparar de repente por alguns minutos e depois voltar ao normal, isso acontece algumas vezes por semana sem motivo aparente",alto risco
"Estou com inchaço nos tornozelos e nas pernas há cinco dias, sinto que estou mais pesado e com dificuldade para respirar ao fazer qualquer esforço leve",alto risco
"Tenho sentido dor em queimação no peito após as refeições, mas hoje a dor ficou mais intensa e não passou com antiácido, estou preocupado",alto risco
"Sinto uma pressão forte no centro do peito que vai e vem há três horas, com suor frio e náusea, e o braço esquerdo está formigando",alto risco
"Acordei com falta de ar intensa no meio da noite, tosse seca e sensação de sufocamento, precisei sentar na cama para conseguir respirar",alto risco
"Tenho dor no peito que aparece quando caminho rápido ou subo escadas e desaparece quando paro de me movimentar, isso acontece há duas semanas",alto risco
"Sinto tontura frequente, visão escurecendo por alguns segundos e já desmaiei uma vez essa semana sem motivo aparente",alto risco
"Estou com o coração acelerado há mais de trinta minutos, sinto fraqueza, suor frio e uma leve dor no peito que não passa",alto risco
"Tenho sentido falta de ar progressiva há um mês, antes só ao correr, agora até ao me vestir, e meu médico disse que meu coração está fraco",alto risco
"Sinto dor intensa no peito há vinte minutos, como se alguém estivesse apertando meu coração, com irradiação para o pescoço e suor frio intenso",alto risco
"Estou com palpitações desde ontem, sensação de que o coração pula uma batida, e hoje acordei com leve falta de ar e cansaço incomum",alto risco
"Tenho pressão alta há anos e hoje sinto dor de cabeça intensa, visão turva e uma dor leve no peito, a pressão está em 200 por 120",alto risco
"Sinto meu coração bater muito devagar e com força, tenho tontura constante e já quase desmaiei duas vezes hoje ao me levantar",alto risco
"Estou com dor no peito ao respirar fundo, falta de ar súbita e tosse com um pouco de sangue que começaram há poucas horas",alto risco
"Tenho histórico de infarto e hoje sinto um desconforto no peito diferente do normal, com cansaço exagerado e leve falta de ar desde o almoço",alto risco
"Sinto um leve aperto no peito quando fico muito ansioso, mas passa rápido quando me acalmo, sem outros sintomas associados",baixo risco
"Tenho sentido meu coração acelerar depois de tomar muito café, mas o coração volta ao normal sozinho em poucos minutos",baixo risco
"Estou com leve cansaço após um dia muito agitado no trabalho, mas descansando já melhoro, sem dor no peito ou falta de ar",baixo risco
"Sinto leve desconforto no peito depois de comer demais, como uma pressão leve que melhora ao me sentar ereto",baixo risco
"Tenho pressão um pouco elevada, 140 por 90, mas sem sintomas no momento, apenas vim para uma consulta de rotina",baixo risco
"Sinto palpitações leves ocasionais depois de consumir bebida energética, mas passam sozinhas em minutos",baixo risco
"Estou com leve falta de ar ao subir muitos lances de escada, mas sou sedentário e provavelmente é falta de condicionamento físico",baixo risco
"Tenho um leve formigamento no braço esquerdo de vez em quando, mas acredito que seja por dormir em posição errada",baixo risco
"Sinto cansaço ao fazer exercício intenso, mas sou iniciante na academia e imagino que seja adaptação normal ao esforço",baixo risco
"Estou com dor leve nas costas que às vezes irradia para o peito, mas piora quando mudo de posição e melhora com antiinflamatório",baixo risco
